2019-05-13 12:52:38,909 | DEBUG | 20.104.75:64634] | tcp                              |  -  -  | RMI RenewClean-[130.20.104.75:64634]: create connection
2019-05-13 12:52:38,909 | DEBUG | 20.104.75:64634] | proxy                            |  -  -  | RMI RenewClean-[130.20.104.75:64634]: host: 130.20.104.75, port: 64634
2019-05-13 12:52:38,910 | DEBUG | 5)-130.20.104.75 | tcp                              |  -  -  | RMI TCP Connection(5)-130.20.104.75: accepted socket from [130.20.104.75:64662]
2019-05-13 12:52:38,911 | DEBUG | 5)-130.20.104.75 | tcp                              |  -  -  | RMI TCP Connection(5)-130.20.104.75: (port 64634) op = 80
2019-05-13 12:52:38,911 | DEBUG | 5)-130.20.104.75 | loader                           |  -  -  | RMI TCP Connection(5)-130.20.104.75: name = "[Ljava.rmi.server.ObjID;", codebase = ""
2019-05-13 12:52:38,911 | DEBUG | 5)-130.20.104.75 | loader                           |  -  -  | RMI TCP Connection(5)-130.20.104.75: name = "java.rmi.server.ObjID", codebase = ""
2019-05-13 12:52:38,912 | DEBUG | 5)-130.20.104.75 | loader                           |  -  -  | RMI TCP Connection(5)-130.20.104.75: name = "java.rmi.server.UID", codebase = ""
2019-05-13 12:52:38,912 | DEBUG | 5)-130.20.104.75 | loader                           |  -  -  | RMI TCP Connection(5)-130.20.104.75: name = "java.rmi.dgc.VMID", codebase = ""
2019-05-13 12:52:38,912 | DEBUG | 5)-130.20.104.75 | loader                           |  -  -  | RMI TCP Connection(5)-130.20.104.75: name = "[B", codebase = ""
2019-05-13 12:52:38,912 | DEBUG | 20.104.75:64634] | ref                              |  -  -  | RMI RenewClean-[130.20.104.75:64634]: free connection (reuse = true)
2019-05-13 12:52:38,912 | DEBUG | 20.104.75:64634] | tcp                              |  -  -  | RMI RenewClean-[130.20.104.75:64634]: reuse connection
2019-05-13 12:52:39,018 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:39,019 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:39,033 | DEBUG | oss.core.server) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [pnnl.goss.core.server.ServerControl] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:39,038 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:39,040 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:39,041 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:39,067 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:39,069 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:39,071 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:39,092 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:39,093 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:39,093 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:39,104 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:39,242 | DEBUG | oss.core.client) | goss-client                      | 42 - pnnl.goss.core.goss-client - 2.0.29.201905131948 | ServiceEvent UNREGISTERING - [pnnl.goss.core.ClientFactory] - pnnl.goss.core.goss-client
2019-05-13 12:52:39,242 | DEBUG | oss.core.client) | runner                           | 50 - pnnl.goss.core.runner - 2.0.5.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.runner
2019-05-13 12:52:39,243 | DEBUG | oss.core.client) | goss-core-commands               | 43 - pnnl.goss.core.goss-core-commands - 2.0.18.201905131948 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-commands
2019-05-13 12:52:39,243 | DEBUG | oss.core.client) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:40,452 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:40,452 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:40,496 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:40,498 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:40,497 | DEBUG | oss.core.server) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [pnnl.goss.core.server.ServerControl] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:40,500 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:40,536 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:40,537 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:40,537 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:40,538 | DEBUG | oss.core.client) | goss-client                      | 42 - pnnl.goss.core.goss-client - 2.0.29.201905131948 | ServiceEvent UNREGISTERING - [pnnl.goss.core.ClientFactory] - pnnl.goss.core.goss-client
2019-05-13 12:52:40,538 | DEBUG | oss.core.client) | runner                           | 50 - pnnl.goss.core.runner - 2.0.5.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.runner
2019-05-13 12:52:40,541 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:40,540 | DEBUG | oss.core.client) | goss-core-commands               | 43 - pnnl.goss.core.goss-core-commands - 2.0.18.201905131948 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-commands
2019-05-13 12:52:40,543 | DEBUG | oss.core.client) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:41,982 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:41,989 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:42,052 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:42,053 | DEBUG | oss.core.server) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [pnnl.goss.core.server.ServerControl] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:42,058 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:42,064 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:42,117 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:42,117 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:42,117 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:42,121 | DEBUG | oss.core.client) | goss-client                      | 42 - pnnl.goss.core.goss-client - 2.0.29.201905131948 | ServiceEvent UNREGISTERING - [pnnl.goss.core.ClientFactory] - pnnl.goss.core.goss-client
2019-05-13 12:52:42,125 | DEBUG | oss.core.client) | runner                           | 50 - pnnl.goss.core.runner - 2.0.5.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.runner
2019-05-13 12:52:42,129 | DEBUG | oss.core.client) | goss-core-commands               | 43 - pnnl.goss.core.goss-core-commands - 2.0.18.201905131948 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-commands
2019-05-13 12:52:42,130 | DEBUG | oss.core.client) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:43,515 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:43,518 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:43,558 | DEBUG | oss.core.server) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [pnnl.goss.core.server.ServerControl] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:43,564 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:43,566 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:43,567 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:43,605 | DEBUG | oss.core.client) | goss-client                      | 42 - pnnl.goss.core.goss-client - 2.0.29.201905131948 | ServiceEvent UNREGISTERING - [pnnl.goss.core.ClientFactory] - pnnl.goss.core.goss-client
2019-05-13 12:52:43,605 | DEBUG | oss.core.client) | runner                           | 50 - pnnl.goss.core.runner - 2.0.5.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.runner
2019-05-13 12:52:43,605 | DEBUG | oss.core.client) | goss-core-commands               | 43 - pnnl.goss.core.goss-core-commands - 2.0.18.201905131948 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-commands
2019-05-13 12:52:43,606 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:43,606 | DEBUG | oss.core.client) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:43,613 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:43,614 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:44,983 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:44,983 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:44,996 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:44,997 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:44,997 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:44,998 | DEBUG | oss.core.server) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [pnnl.goss.core.server.ServerControl] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:45,021 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:45,021 | DEBUG | oss.core.client) | goss-client                      | 42 - pnnl.goss.core.goss-client - 2.0.29.201905131948 | ServiceEvent UNREGISTERING - [pnnl.goss.core.ClientFactory] - pnnl.goss.core.goss-client
2019-05-13 12:52:45,022 | DEBUG | oss.core.client) | runner                           | 50 - pnnl.goss.core.runner - 2.0.5.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.runner
2019-05-13 12:52:45,022 | DEBUG | oss.core.client) | goss-core-commands               | 43 - pnnl.goss.core.goss-core-commands - 2.0.18.201905131948 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-commands
2019-05-13 12:52:45,024 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent REGISTERED - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
2019-05-13 12:52:45,024 | DEBUG | oss.core.client) | goss-core-server                 | 46 - pnnl.goss.core.goss-core-server - 2.0.27.201905131951 | ServiceEvent UNREGISTERING - [java.lang.Object] - pnnl.goss.core.goss-core-server
2019-05-13 12:52:45,026 | DEBUG | main             | configadmin                      | 19 - org.apache.felix.configadmin - 1.8.0 | delete()
2019-05-13 12:52:45,034 | DEBUG | main             | configurator                     | 13 - org.amdatu.testing.configurator - 4.0.0 | ServiceEvent UNREGISTERING - [org.osgi.service.cm.ConfigurationListener] - org.amdatu.testing.configurator
